article_no,discipline,subdiscipline,journal_title,journal_url,volume,issue,month,year,issue_url,type,title,article_url
630,Medicine & Public Health,Cardiology,Clinical Autonomic Research,http://link.springer.com/journal/10286,27,1,February,2017,https://link.springer.com/journal/10286/27/1,Research Article,Reliability of orthostatic beat-to-beat blood pressure tests: implications for population and clinical studies,https://link.springer.com/article/10.1007/s10286-016-0393-3
3054,Medicine & Public Health,Oncology,International Journal of Clinical Oncology,http://link.springer.com/journal/10147,22,5,October,2017,https://link.springer.com/journal/10147/22/5,Review Article,The clinical use of neutrophil-to-lymphocyte ratio in bladder cancer patients: a systematic review and meta-analysis,https://link.springer.com/article/10.1007/s10147-017-1171-5
2732,Medicine & Public Health,Oncology,"Cancer Immunology, Immunotherapy",http://link.springer.com/journal/262,67,5,May,2018,https://link.springer.com/journal/262/67/5,Original Article,Early detection of hepatocellular carcinoma using autoantibody profiles from a panel of tumor-associated antigens,https://link.springer.com/article/10.1007/s00262-018-2135-y
3074,Medicine & Public Health,Oncology,Head & Neck Oncology,http://link.springer.com/journal/13051,1,1,December,2009,https://link.springer.com/journal/13051/1/1,Review,Oral carcinoma after hematopoietic stem cell transplantation – a new classification based on a literature review over 30 years,https://link.springer.com/article/10.1186/1758-3284-1-29
2974,Medicine & Public Health,Oncology,Pediatric Radiology,http://link.springer.com/journal/247,48,10,September,2018,https://link.springer.com/journal/247/48/10,Original Article,Transsplenic splenoportography and portal venous interventions in pediatric patients,https://link.springer.com/article/10.1007/s00247-018-4157-1
3928,Biomedicine,Pharmacology-Toxicology,Journal of Pharmacokinetics and Pharmacodynamics,http://link.springer.com/journal/10928,45,1,February,2018,https://link.springer.com/journal/10928/45/1,Original Paper,Exploring inductive linearization for pharmacokinetic–pharmacodynamic systems of nonlinear ordinary differential equations,https://link.springer.com/article/10.1007/s10928-017-9527-z
2319,Biomedicine,Neurology,NeuroMolecular Medicine,http://link.springer.com/journal/12017,16,3,September,2014,https://link.springer.com/journal/12017/16/3,Original Paper,Endothelial Activation and Chemoattractant Expression are Early Processes in Isolated Blast Brain Injury,https://link.springer.com/article/10.1007/s12017-014-8313-y
3521,Biomedicine,Pharmacology-Toxicology,Journal of Cancer Education,http://link.springer.com/journal/13187,34,5,October,2019,https://link.springer.com/journal/13187/34/5,Original Paper,Evaluating the Effectiveness of Human Papillomavirus Educational Intervention among Oral Health Professionals,https://link.springer.com/article/10.1007/s13187-018-1391-z
18,Medicine & Public Health,Cardiology,CardioVascular and Interventional Radiology,http://link.springer.com/journal/270,42,8,August,2019,https://link.springer.com/journal/270/42/8,Review,Inferior Vena Cava Filters in Hemodynamically Unstable Patients with Acute Pulmonary Embolism: How Often are They Used? Data from Multicenter Prospective Registries on Acute Pulmonary Embolism,https://link.springer.com/article/10.1007/s00270-019-02242-5
2710,Medicine & Public Health,Oncology,"Cancer Immunology, Immunotherapy",http://link.springer.com/journal/262,67,11,November,2018,https://link.springer.com/journal/262/67/11,Original Article,IL-10 inducible CD8+ regulatory T-cells are enriched in patients with multiple myeloma and impact the generation of antigen-specific T-cells,https://link.springer.com/article/10.1007/s00262-018-2230-0
1456,Biomedicine,Immunology,Journal of Experimental & Clinical Cancer Research,http://link.springer.com/journal/13046,30,1,December,2011,https://link.springer.com/journal/13046/30/1,Research,Statin-induced apoptosis via the suppression of ERK1/2 and Akt activation by inhibition of the geranylgeranyl-pyrophosphate biosynthesis in glioblastoma,https://link.springer.com/article/10.1186/1756-9966-30-74
3219,Biomedicine,Pharmacology-Toxicology,Journal of Pharmaceutical Innovation,http://link.springer.com/journal/12247,10,1,March,2015,https://link.springer.com/journal/12247/10/1,Research Article,Development of NIR Methods for Blend Analysis Using Small Quantities of Materials,https://link.springer.com/article/10.1007/s12247-014-9204-3
2918,Medicine & Public Health,Oncology,Gynecologic Oncology Research and Practice,http://link.springer.com/journal/40661,1,1,December,2014,https://link.springer.com/journal/40661/1/1,Research,In vitro chemoresponse in metachronous pairs of gyneclologic cancers,https://link.springer.com/article/10.1186/2053-6844-1-7
3193,Biomedicine,Pharmacology-Toxicology,Journal of Pharmaceutical Innovation,http://link.springer.com/journal/12247,11,3,September,2016,https://link.springer.com/journal/12247/11/3,Original Article,Systematic Framework for Design of Environmentally Sustainable Pharmaceutical Supply Chain Network,https://link.springer.com/article/10.1007/s12247-016-9255-8
3334,Biomedicine,Pharmacology-Toxicology,Cardiovascular Toxicology,http://link.springer.com/journal/12012,18,5,October,2018,https://link.springer.com/journal/12012/18/5,Original Paper,A Chemosensitizer Drug: Disulfiram Prevents Doxorubicin-Induced Cardiac Dysfunction and Oxidative Stress in Rats,https://link.springer.com/article/10.1007/s12012-018-9458-y
2910,Medicine & Public Health,Oncology,Gynecologic Oncology Research and Practice,http://link.springer.com/journal/40661,3,1,December,2016,https://link.springer.com/journal/40661/3/1,Research,Safety and efficacy of salvage nano-particle albumin bound paclitaxel in recurrent cervical cancer: a feasibility study,https://link.springer.com/article/10.1186/s40661-016-0025-6
3579,Biomedicine,Pharmacology-Toxicology,Journal of Cancer Education,http://link.springer.com/journal/13187,31,4,December,2016,https://link.springer.com/journal/13187/31/4,Original Paper,Why Wait Until Our Community Gets Cancer?: Exploring CRC Screening Barriers and Facilitators in the Spanish-Speaking Community in North Carolina,https://link.springer.com/article/10.1007/s13187-015-0890-4
2194,Biomedicine,Neurology,Molecular Neurobiology,http://link.springer.com/journal/12035,56,4,April,2019,https://link.springer.com/journal/12035/56/4,Original Paper,Spatial Dynamics of Vascular and Biochemical Injury in Rat Hippocampus Following Striatal Injury and Aβ Toxicity,https://link.springer.com/article/10.1007/s12035-018-1225-3
1212,Biomedicine,Immunology,Immunologic Research,http://link.springer.com/journal/12026,65,4,August,2017,https://link.springer.com/journal/12026/65/4,Original Article,Adoptive transfer of autoimmune splenic dendritic cells to lupus-prone mice triggers a B lymphocyte humoral response,https://link.springer.com/article/10.1007/s12026-017-8936-9
3229,Biomedicine,Pharmacology-Toxicology,AAPS PharmSciTech,http://link.springer.com/journal/12249,20,7,October,2019,https://link.springer.com/journal/12249/20/7,Research Article,"Preparation, Optimization, and Evaluation of Hyaluronic Acid-Based Hydrogel Loaded with Miconazole Self-Nanoemulsion for the Treatment of Oral Thrush",https://link.springer.com/article/10.1208/s12249-019-1496-7
3818,Biomedicine,Pharmacology-Toxicology,Psychopharmacology,http://link.springer.com/journal/213,235,5,May,2018,https://link.springer.com/journal/213/235/5,Review,The 5-HT1B receptor - a potential target for antidepressant treatment,https://link.springer.com/article/10.1007/s00213-018-4872-1
702,Medicine & Public Health,Cardiology,Cardiovascular Drugs and Therapy,http://link.springer.com/journal/10557,30,5,October,2016,https://link.springer.com/journal/10557/30/5,Original Article,Efficacy and Safety of Alirocumab in Patients with Heterozygous Familial Hypercholesterolemia and LDL-C of 160 mg/dl or Higher,https://link.springer.com/article/10.1007/s10557-016-6685-y
1902,Biomedicine,Neurology,Neurotherapeutics,http://link.springer.com/journal/13311,15,3,July,2018,https://link.springer.com/journal/13311/15/3,Review,Now is the Critical Time for Engineered Neuroplasticity,https://link.springer.com/article/10.1007/s13311-018-0637-0
327,Medicine & Public Health,Cardiology,Thrombosis Journal,http://link.springer.com/journal/12959,4,1,December,2006,https://link.springer.com/journal/12959/4/1,Original Clinical Investigation,Acquired activated protein C resistance and thrombosis in multiple myeloma patients,https://link.springer.com/article/10.1186/1477-9560-4-11
346,Medicine & Public Health,Cardiology,BMC Cardiovascular Disorders,http://link.springer.com/journal/12872,18,1,December,2018,https://link.springer.com/journal/12872/18/1,Research Article,The predictive role of aortic propagation velocity for coronary artery disease,https://link.springer.com/article/10.1186/s12872-018-0854-9
2107,Biomedicine,Neurology,Molecular Neurodegeneration,http://link.springer.com/journal/13024,14,1,December,2019,https://link.springer.com/journal/13024/14/1,Review,Alpha-synuclein structure and Parkinson’s disease – lessons and emerging principles,https://link.springer.com/article/10.1186/s13024-019-0329-1
2750,Medicine & Public Health,Oncology,Indian Journal of Surgical Oncology,http://link.springer.com/journal/13193,10,2,June,2019,https://link.springer.com/journal/13193/10/2,Original Article,Oncoplastic Breast Reconstruction in Breast Conservation Surgery: Improving the Oncological and Aesthetic Outcomes,https://link.springer.com/article/10.1007/s13193-019-00900-1
1964,Biomedicine,Neurology,Neurotherapeutics,http://link.springer.com/journal/13311,11,4,October,2014,https://link.springer.com/journal/13311/11/4,Review,Epileptic Encephalopathies: New Genes and New Pathways,https://link.springer.com/article/10.1007/s13311-014-0301-2
1793,Biomedicine,Neurology,Journal of Neurodevelopmental Disorders,http://link.springer.com/journal/11689,6,1,December,2014,https://link.springer.com/journal/11689/6/1,Research,A cross-sectional analysis of orienting of visuospatial attention in child and adult carriers of the fragile X premutation,https://link.springer.com/article/10.1186/1866-1955-6-45
492,Medicine & Public Health,Cardiology,Journal of Cardiovascular Magnetic Resonance,http://link.springer.com/journal/12968,21,1,December,2019,https://link.springer.com/journal/12968/21/1,Research,Sorted Golden-step phase encoding: an improved Golden-step imaging technique for cardiac and respiratory self-gated cine cardiovascular magnetic resonance imaging,https://link.springer.com/article/10.1186/s12968-019-0533-8
126,Medicine & Public Health,Cardiology,Journal of Nuclear Cardiology,http://link.springer.com/journal/12350,24,2,April,2017,https://link.springer.com/journal/12350/24/2,Review Article,"Review of Cardiovascular Imaging in the Journal of Nuclear Cardiology in 2016. Part 1 of 2: Positron Emission Tomography, Computed Tomography and Magnetic Resonance",https://link.springer.com/article/10.1007/s12350-017-0820-4
2544,Biomedicine,Neurology,Metabolic Brain Disease,http://link.springer.com/journal/11011,32,4,August,2017,https://link.springer.com/journal/11011/32/4,Original Article,The analgesic effect of trans-resveratrol is regulated by calcium channels in the hippocampus of mice,https://link.springer.com/article/10.1007/s11011-017-0033-1
3753,Biomedicine,Pharmacology-Toxicology,European Journal of Clinical Pharmacology,http://link.springer.com/journal/228,75,10,October,2019,https://link.springer.com/journal/228/75/10,Review,Prescription prevalence of psychotropic drugs in children and adolescents: an analysis of international data,https://link.springer.com/article/10.1007/s00228-019-02711-3
2034,Biomedicine,Neurology,Translational Stroke Research,http://link.springer.com/journal/12975,10,4,August,2019,https://link.springer.com/journal/12975/10/4,Original Article,Acetazolamide Mitigates Intracranial Pressure Spikes Without Affecting Functional Outcome After Experimental Hemorrhagic Stroke,https://link.springer.com/article/10.1007/s12975-018-0663-6
1247,Biomedicine,Immunology,Pathology & Oncology Research,http://link.springer.com/journal/12253,25,2,April,2019,https://link.springer.com/journal/12253/25/2,Original Article,Hypermethylated Promoters of Secreted Frizzled-Related Protein Genes are Associated with Colorectal Cancer,https://link.springer.com/article/10.1007/s12253-018-0505-6
248,Medicine & Public Health,Cardiology,Journal of Thrombosis and Thrombolysis,http://link.springer.com/journal/11239,45,2,February,2018,https://link.springer.com/journal/11239/45/2,Original Paper,Relationships of oxidized HDL with blood coagulation and fibrinolysis in patients with type 2 diabetes mellitus,https://link.springer.com/article/10.1007/s11239-017-1594-x
670,Medicine & Public Health,Cardiology,Cardiovascular Drugs and Therapy,http://link.springer.com/journal/10557,32,2,April,2018,https://link.springer.com/journal/10557/32/2,Original Article,Combined SGLT2 and DPP4 Inhibition Reduces the Activation of the Nlrp3/ASC Inflammasome and Attenuates the Development of Diabetic Nephropathy in Mice with Type 2 Diabetes,https://link.springer.com/article/10.1007/s10557-018-6778-x
2193,Biomedicine,Neurology,Molecular Neurobiology,http://link.springer.com/journal/12035,56,4,April,2019,https://link.springer.com/journal/12035/56/4,Original Paper,Atorvastatin Rejuvenates Neural Stem Cells Injured by Oxygen–Glucose Deprivation and Induces Neuronal Differentiation Through Activating the PI3K/Akt and ERK Pathways,https://link.springer.com/article/10.1007/s12035-018-1267-6
129,Medicine & Public Health,Cardiology,Journal of Nuclear Cardiology,http://link.springer.com/journal/12350,24,1,February,2017,https://link.springer.com/journal/12350/24/1,Original Article,"
18F-FDG positron emission tomography/computed tomography in infective endocarditis",https://link.springer.com/article/10.1007/s12350-015-0325-y
2873,Medicine & Public Health,Oncology,Journal of Mammary Gland Biology and Neoplasia,http://link.springer.com/journal/10911,19,3-4,December,2014,https://link.springer.com/journal/10911/19/3,Review Paper,"The National Mastitis Council: A Global Organization for Mastitis Control and Milk Quality, 50 Years and Beyond",https://link.springer.com/article/10.1007/s10911-014-9328-6
1250,Biomedicine,Immunology,Pathology & Oncology Research,http://link.springer.com/journal/12253,25,1,January,2019,https://link.springer.com/journal/12253/25/1,Original Article,Pim-2 Cooperates with Downstream Factor XIAP to Inhibit Apoptosis and Intensify Malignant Grade in Prostate Cancer,https://link.springer.com/article/10.1007/s12253-017-0353-9
1251,Biomedicine,Immunology,Pathology & Oncology Research,http://link.springer.com/journal/12253,25,1,January,2019,https://link.springer.com/journal/12253/25/1,Original Article,Primary High-Grade Non-Muscle-Invasive Bladder Cancer: High NFκB Expression in Tumor Specimens Distinguishes Patients Who are at Risk for Disease Progression,https://link.springer.com/article/10.1007/s12253-017-0340-1
3916,Biomedicine,Pharmacology-Toxicology,Journal of Pharmacokinetics and Pharmacodynamics,http://link.springer.com/journal/10928,45,4,August,2018,https://link.springer.com/journal/10928/45/4,Original Paper,Physiologically-based modeling and interspecies prediction of paclitaxel pharmacokinetics,https://link.springer.com/article/10.1007/s10928-018-9586-9
3543,Biomedicine,Pharmacology-Toxicology,Journal of Cancer Education,http://link.springer.com/journal/13187,33,5,October,2018,https://link.springer.com/journal/13187/33/5,Original Paper,The Quality of Patient Information Booklets for Cancer Patients—an Evaluation of Free Accessible Material in German Language,https://link.springer.com/article/10.1007/s13187-017-1224-5
1235,Biomedicine,Immunology,Immunologic Research,http://link.springer.com/journal/12026,64,1,February,2016,https://link.springer.com/journal/12026/64/1,Original Article,Hepatitis E virus infection activates signal regulator protein α to down-regulate type I interferon,https://link.springer.com/article/10.1007/s12026-015-8729-y
2102,Biomedicine,Neurology,Translational Stroke Research,http://link.springer.com/journal/12975,7,5,October,2016,https://link.springer.com/journal/12975/7/5,Original Article,Systematic Review and Meta-Analysis of the Efficacy of Interleukin-1 Receptor Antagonist in Animal Models of Stroke: an Update,https://link.springer.com/article/10.1007/s12975-016-0489-z
3316,Biomedicine,Pharmacology-Toxicology,Cardiovascular Toxicology,http://link.springer.com/journal/12012,19,3,June,2019,https://link.springer.com/journal/12012/19/3,Original Paper,Cobalt Administration Causes Reduced Contractility with Parallel Increases in TRPC6 and TRPM7 Transporter Protein Expression in Adult Rat Hearts,https://link.springer.com/article/10.1007/s12012-018-9498-3
1961,Biomedicine,Neurology,Neurotherapeutics,http://link.springer.com/journal/13311,12,1,January,2015,https://link.springer.com/journal/13311/12/1,Review,A Systems Approach to Drug Discovery in Alzheimer’s Disease,https://link.springer.com/article/10.1007/s13311-014-0335-5
504,Medicine & Public Health,Cardiology,Journal of Cardiovascular Magnetic Resonance,http://link.springer.com/journal/12968,18,1,December,2015,https://link.springer.com/journal/12968/18/1,Research,Systolic MOLLI T1 mapping with heart-rate-dependent pulse sequence sampling scheme is feasible in patients with atrial fibrillation,https://link.springer.com/article/10.1186/s12968-016-0232-7
2052,Biomedicine,Neurology,Translational Stroke Research,http://link.springer.com/journal/12975,9,6,December,2018,https://link.springer.com/journal/12975/9/6,Original Article,Do the Risk Factors Determine the Severity and Outcome of Cerebral Venous Sinus Thrombosis?,https://link.springer.com/article/10.1007/s12975-017-0607-6
2257,Biomedicine,Neurology,NeuroMolecular Medicine,http://link.springer.com/journal/12017,20,3,September,2018,https://link.springer.com/journal/12017/20/3,Original Paper,Potential Role of Brain-Derived Neurotrophic Factor and Dopamine Receptor D2 Gene Variants as Modifiers for the Susceptibility and Clinical Course of Wilson’s Disease,https://link.springer.com/article/10.1007/s12017-018-8501-2
3053,Medicine & Public Health,Oncology,International Journal of Clinical Oncology,http://link.springer.com/journal/10147,22,5,October,2017,https://link.springer.com/journal/10147/22/5,Original Article,Risk factors for paraaortic lymph node metastasis in endometrial cancer,https://link.springer.com/article/10.1007/s10147-017-1139-5
3760,Biomedicine,Pharmacology-Toxicology,European Journal of Clinical Pharmacology,http://link.springer.com/journal/228,75,5,May,2019,https://link.springer.com/journal/228/75/5,Review,Efficacy of acetylleucine in vertigo and dizziness: a systematic review of randomised controlled trials,https://link.springer.com/article/10.1007/s00228-018-02617-6
2353,Biomedicine,Neurology,Journal of NeuroEngineering and Rehabilitation,http://link.springer.com/journal/12984,15,1,December,2018,https://link.springer.com/journal/12984/15/1,Research,Motor modules during adaptation to walking in a powered ankle exoskeleton,https://link.springer.com/article/10.1186/s12984-017-0343-x
3569,Biomedicine,Pharmacology-Toxicology,Journal of Cancer Education,http://link.springer.com/journal/13187,32,3,September,2017,https://link.springer.com/journal/13187/32/3,Original Paper,"Patients’ Trust in Physician, Patient Enablement, and Health-Related Quality of Life During Colon Cancer Treatment",https://link.springer.com/article/10.1007/s13187-017-1166-y
2640,Medicine & Public Health,Oncology,Comparative Clinical Pathology,http://link.springer.com/journal/580,26,4,July,2017,https://link.springer.com/journal/580/26/4,Original Article,"Comparative biochemical, parasitological, and histopathological studies on cystic echinococcosis in infected sheep",https://link.springer.com/article/10.1007/s00580-017-2450-2
1394,Biomedicine,Immunology,Parasitology Research,http://link.springer.com/journal/436,117,10,October,2018,https://link.springer.com/journal/436/117/10,Original Paper,Morphological and molecular characterization of Chloromyxum argusi n. sp. (Myxosporea) infecting the urinary bladder of Scatophagus argus Linnaeus 1766 (Scatophagidae) from the southwest coast of India,https://link.springer.com/article/10.1007/s00436-018-6013-5
2334,Biomedicine,Neurology,Acta Neuropathologica Communications,http://link.springer.com/journal/40478,4,1,December,2016,https://link.springer.com/journal/40478/4/1,Research,pGluAβ increases accumulation of Aβ in vivo and exacerbates its toxicity,https://link.springer.com/article/10.1186/s40478-016-0380-x
3227,Biomedicine,Pharmacology-Toxicology,AAPS PharmSciTech,http://link.springer.com/journal/12249,20,8,November,2019,https://link.springer.com/journal/12249/20/8,Research Article,Physicochemical Profiling of Baicalin Along with the Development and Characterization of Cyclodextrin Inclusion Complexes,https://link.springer.com/article/10.1208/s12249-019-1525-6
